label,x,y,z
minus32_minus30_2,-0.15,-0.140625,0.01171875
minus32_minus30_3,-0.15,-0.140625,0.01640625
minus32_minus30_4,-0.15,-0.140625,0.02109375
minus32_minus30_5,-0.15,-0.140625,0.02578125
minus32_minus30_6,-0.15,-0.140625,0.03046875
minus32_minus30_7,-0.15,-0.140625,0.03515625
minus32_minus30_8,-0.15,-0.140625,0.039843750000000004
minus32_minus30_9,-0.15,-0.140625,0.04453125
minus32_minus30_10,-0.15,-0.140625,0.04921875
minus32_minus30_11,-0.15,-0.140625,0.05390624999999999
minus32_minus30_12,-0.15,-0.140625,0.05859375
minus32_minus30_13,-0.15,-0.140625,0.06328125
minus32_minus30_14,-0.15,-0.140625,0.06796875
minus32_minus30_15,-0.15,-0.140625,0.07265624999999999
minus32_minus30_16,-0.15,-0.140625,0.07734374999999999
minus32_minus30_17,-0.15,-0.140625,0.08203124999999999
minus32_minus30_18,-0.15,-0.140625,0.08671874999999998
minus32_minus30_19,-0.15,-0.140625,0.09140625000000001
minus32_minus30_20,-0.15,-0.140625,0.09609375
minus32_minus30_21,-0.15,-0.140625,0.1007812499999
minus32_minus30_22,-0.15,-0.140625,0.1054687499999
minus32_minus30_23,-0.15,-0.140625,0.1101562499999
minus32_minus30_24,-0.15,-0.140625,0.11484375
minus32_minus30_25,-0.15,-0.140625,0.11953124999999999
minus32_minus30_26,-0.15,-0.140625,0.12421875
minus32_minus30_27,-0.15,-0.140625,0.12890625
minus32_minus30_28,-0.15,-0.140625,0.13359375
minus32_minus30_29,-0.15,-0.140625,0.13828125
minus32_minus30_30,-0.15,-0.140625,0.14296875
minus32_minus30_31,-0.15,-0.140625,0.14765625
minus32_minus30_32,-0.15,-0.140625,0.15234375
minus32_minus30_33,-0.15,-0.140625,0.15703125
minus32_minus30_34,-0.15,-0.140625,0.16171875
minus32_minus30_35,-0.15,-0.140625,0.16640625
minus32_minus30_36,-0.15,-0.140625,0.17109375
minus32_minus30_37,-0.15,-0.140625,0.17578125
minus32_minus30_38,-0.15,-0.140625,0.18046874999999998
minus32_minus30_39,-0.15,-0.140625,0.18515625
minus32_minus30_40,-0.15,-0.140625,0.18984374999999998
minus32_minus30_41,-0.15,-0.140625,0.19453125
minus32_minus30_42,-0.15,-0.140625,0.19921875
minus32_minus30_43,-0.15,-0.140625,0.2039062499999
minus32_minus30_44,-0.15,-0.140625,0.2085937499999
minus32_minus30_45,-0.15,-0.140625,0.2132812499999
minus32_minus30_46,-0.15,-0.140625,0.21796874999989999
minus32_minus30_47,-0.15,-0.140625,0.2226562499999
minus32_minus30_48,-0.15,-0.140625,0.22734375
minus32_minus30_49,-0.15,-0.140625,0.23203125
minus32_minus30_50,-0.15,-0.140625,0.23671875
minus32_minus30_51,-0.15,-0.140625,0.24140625000000002
minus32_minus30_52,-0.15,-0.140625,0.24609375
minus32_minus30_53,-0.15,-0.140625,0.25078124999999996
minus32_minus30_54,-0.15,-0.140625,0.25546875
minus32_minus30_55,-0.15,-0.140625,0.2601562499999
minus32_minus30_56,-0.15,-0.140625,0.26484375
minus32_minus30_57,-0.15,-0.140625,0.2695312499999
minus32_minus30_58,-0.15,-0.140625,0.27421875
minus32_minus30_59,-0.15,-0.140625,0.2789062499999
minus32_minus30_60,-0.15,-0.140625,0.28359375
minus32_minus30_61,-0.15,-0.140625,0.2882812499999
minus32_minus30_62,-0.15,-0.140625,0.29296875
minus32_minus30_63,-0.15,-0.140625,0.2976562499999
minus32_minus29_0,-0.15,-0.1359375,0.00234375
minus32_minus29_1,-0.15,-0.1359375,0.00703125
minus32_minus29_2,-0.15,-0.1359375,0.01171875
minus32_minus29_3,-0.15,-0.1359375,0.01640625
minus32_minus29_4,-0.15,-0.1359375,0.02109375
minus32_minus29_5,-0.15,-0.1359375,0.02578125
minus32_minus29_6,-0.15,-0.1359375,0.03046875
minus32_minus29_7,-0.15,-0.1359375,0.03515625
minus32_minus29_8,-0.15,-0.1359375,0.039843750000000004
minus32_minus29_9,-0.15,-0.1359375,0.04453125
minus32_minus29_10,-0.15,-0.1359375,0.04921875
minus32_minus29_11,-0.15,-0.1359375,0.05390624999999999
minus32_minus29_12,-0.15,-0.1359375,0.05859375
minus32_minus29_13,-0.15,-0.1359375,0.06328125
minus32_minus29_14,-0.15,-0.1359375,0.06796875
minus32_minus29_15,-0.15,-0.1359375,0.07265624999999999
minus32_minus29_16,-0.15,-0.1359375,0.07734374999999999
minus32_minus29_17,-0.15,-0.1359375,0.08203124999999999
minus32_minus29_18,-0.15,-0.1359375,0.08671874999999998
minus32_minus29_19,-0.15,-0.1359375,0.09140625000000001
minus32_minus29_20,-0.15,-0.1359375,0.09609375
minus32_minus29_21,-0.15,-0.1359375,0.1007812499999
minus32_minus29_22,-0.15,-0.1359375,0.1054687499999
minus32_minus29_23,-0.15,-0.1359375,0.1101562499999
minus32_minus29_24,-0.15,-0.1359375,0.11484375
